재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	entity00148540_udf_IS_201832614146598_IncomeStatementAbstract	영업수익	60,479,554,000	60,479,554,000	56,677,737,000	56,677,737,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	12,944,311,000	12,944,311,000	11,256,686,000	11,256,686,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	47,535,243,000	47,535,243,000	45,421,051,000	45,421,051,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	dart_OtherGains	기타순손익	-54,674,366,000	-54,674,366,000	749,876,000	749,876,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_FinanceIncome	금융수익	3,395,423,000	3,395,423,000	115,377,000	115,377,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_FinanceCosts	금융비용	1,123,816,000	1,123,816,000	745,498,000	745,498,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익	-4,867,516,000	-4,867,516,000	45,540,806,000	45,540,806,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용	-9,155,133,000	-9,155,133,000	3,854,928,000	3,854,928,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_ProfitLoss	분기순이익	4,287,617,000	4,287,617,000	41,685,878,000	41,685,878,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_BasicEarningsLossPerShare	   보통주 주당순이익	147	147	1,461	1,461		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_DilutedEarningsLossPerShare	   보통주 희석주당순이익	147	147	1,458	1,458		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-03-31	1분기보고서	KRW	ifrs_Revenue	매출액	1,388,766,881,974	1,388,766,881,974	1,222,536,182,452	1,222,536,182,452		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-03-31	1분기보고서	KRW	ifrs_CostOfSales	매출원가	1,287,826,155,313	1,287,826,155,313	1,109,381,389,395	1,109,381,389,395		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-03-31	1분기보고서	KRW	ifrs_GrossProfit	매출총이익	100,940,726,661	100,940,726,661	113,154,793,057	113,154,793,057		
