재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_Revenue	수익(매출액)	7,686,099,875,000	21,722,799,513,000	7,065,054,476,000	19,919,722,157,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_CostOfSales	매출원가	5,459,515,635,000	15,445,060,847,000	4,861,979,391,000	13,761,482,633,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_GrossProfit	매출총이익	2,226,584,240,000	6,277,738,666,000	2,203,075,085,000	6,158,239,524,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,813,002,168,000	5,208,781,176,000	1,763,944,036,000	5,080,745,280,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	entity00148540_udf_IS_201851316268693_IncomeStatementAbstract	금융상품대손상각비	-7,173,296,000	-19,719,918,000	-7,266,264,000	-16,272,448,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	406,408,776,000	1,049,237,572,000	431,864,785,000	1,061,221,796,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_FinanceIncome	금융수익	59,210,311,000	271,980,545,000	427,378,890,000	595,443,456,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost	유효이자율 상각 이자수익	2,261,405,000	6,524,525,000	1,796,938,000	5,405,193,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_FinanceCosts	금융비용	173,317,204,000	541,601,314,000	144,674,008,000	441,455,994,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue	기타금융상품대손상각비	-1,157,217,000	273,451,000	-20,275,198,000	-23,236,901,000		
