재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	entity00148540_udf_IS_202081115123292_IncomeStatementAbstract	영업수익	23,377,438,000	115,766,552,000	26,784,414,000	120,612,682,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	14,494,686,000	46,903,707,000	15,138,381,000	56,041,758,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	8,882,752,000	68,862,845,000	11,646,033,000	64,570,924,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost	기타순손익	47,928,000	14,111,000	47,767,000	-596,116,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	1,384,339,000	3,567,097,000	370,545,000	2,031,582,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	1,045,437,000	5,574,871,000	-4,043,275,000	16,033,462,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	9,269,582,000	66,869,182,000	16,107,620,000	49,972,928,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	2,178,129,000	6,003,965,000	3,682,130,000	2,565,854,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	당기순이익	7,091,453,000	60,865,217,000	12,425,490,000	47,407,074,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익	211	1,813	383	1,461		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익	211	1,813	383	1,461		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	ifrs-full_Revenue	매출액	1,734,020,061,264	5,076,207,005,690	1,629,022,078,009	4,811,512,621,932		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	매출원가	1,575,885,600,645	4,599,803,486,217	1,480,788,289,318	4,421,228,355,766		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	158,134,460,619	476,403,519,473	148,233,788,691	390,284,266,166		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	100,753,953,560	308,498,487,547	89,927,724,685	271,472,364,459		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	57,380,507,059	167,905,031,926	58,306,064,006	118,811,901,707		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	456,358,781	15,207,497,448	7,766,861,132	18,023,028,705		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	금융원가	21,407,768,128	70,614,021,067	26,439,125,678	78,683,125,818		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-09-30	3분기보고서	KRW	dart_OtherGains	기타수익	10,623,175,440	20,204,749,111	1,822,250,028	5,020,316,557		
