재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월	당기 반기 누적	전기 반기 3개월	전기 반기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	ifrs_Revenue	영업수익	21,983,043,000	76,220,936,000	20,411,004,000	60,280,306,000	103,624,034,000	98,497,567,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	ifrs_RevenueFromRoyalties	   로열티수익(매출액)	20,016,341,000	39,205,869,000	18,351,641,000	36,267,896,000	75,724,518,000	73,350,130,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	ifrs_RevenueFromDividends	   배당수익(매출액)		33,081,247,000		19,893,685,000	19,893,685,000	16,565,158,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	entity00148540_udf_IS_2015810134350728_Revenue	   임대료수익	1,966,702,000	3,933,820,000	2,059,363,000	4,118,725,000	8,005,831,000	8,582,279,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	entity00148540_udf_IS_201152222820640_IncomeStatementAbstract	영업비용	10,875,127,000	22,929,476,000	10,514,755,000	21,334,700,000	50,750,456,000	42,431,378,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	11,107,916,000	53,291,460,000	9,896,249,000	38,945,606,000	52,873,578,000	56,066,189,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	entity00148540_udf_IS_20133261421500_IncomeStatementAbstract	기타순손익	107,962,000	492,681,000	-32,352,000	7,456,000	-96,342,000	-829,288,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	ifrs_FinanceIncome	금융수익	704,803,000	1,319,712,000	933,357,000	2,095,992,000	3,658,502,000	4,624,687,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	dart_InterestIncomeFinanceIncome	   이자수익	597,934,000	1,212,290,000	917,312,000	1,877,159,000	3,381,556,000	4,620,400,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-06-30	반기보고서	KRW	entity00148540_udf_IS_20111122162758343_FinanceIncome	   외환차익	9,817,000	10,370,000		65,782,000	72,463,000	4,287,000
