재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_Revenue	영업수익	6,107,273,930,000	17,673,610,232,000	5,526,435,122,000	15,666,208,855,000	21,166,707,211,000	19,572,301,244,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_RevenueFromSaleOfGoods	   재화의 판매로 인한 수익(매출액)	3,463,615,587,000	9,991,552,586,000	3,055,050,529,000	8,831,612,695,000	11,865,683,805,000	10,947,412,289,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_RevenueFromRenderingOfServices	   용역의 제공으로 인한 수익(매출액)	2,175,272,773,000	6,311,922,776,000	1,973,068,498,000	5,603,175,855,000	7,656,960,588,000	7,269,971,481,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_RevenueFromConstructionContracts	   건설계약으로 인한 수익(매출액)	133,164,046,000	333,502,423,000	84,812,799,000	190,143,427,000	303,715,541,000	165,591,089,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	entity00148540_udf_IS_201152323227203_Revenue	   임대료수익(매출액)	19,572,194,000	58,700,480,000	23,181,349,000	59,773,663,000	73,900,155,000	36,865,207,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_OtherRevenue	   기타수익(매출액)	315,649,330,000	977,931,967,000	390,321,947,000	981,503,215,000	1,266,447,122,000	1,152,461,178,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_CostOfSales	매출원가	4,142,894,014,000	12,070,761,678,000	3,754,895,269,000	10,635,213,084,000	14,473,552,196,000	13,482,375,700,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_GrossProfit	매출총이익	1,964,379,916,000	5,602,848,554,000	1,771,539,853,000	5,030,995,771,000	6,693,155,015,000	6,089,925,544,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,583,192,243,000	4,540,559,923,000	1,407,453,037,000	4,023,960,707,000	5,467,824,749,000	5,086,807,659,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	381,187,673,000	1,062,288,631,000	364,086,816,000	1,007,035,064,000	1,225,330,266,000	1,003,117,885,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2016-09-30	3분기보고서	KRW	ifrs_FinanceIncome	금융수익	119,381,990,000	273,953,764,000	113,169,014,000	254,329,760,000	290,447,843,000	262,414,357,000
