재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_Revenue	매출액	6,974,159,438,000	6,974,159,438,000	6,349,714,131,000	6,349,714,131,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_CostOfSales	매출원가	4,910,261,021,000	4,910,261,021,000	4,359,100,296,000	4,359,100,296,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_GrossProfit	매출총이익	2,063,898,417,000	2,063,898,417,000	1,990,613,835,000	1,990,613,835,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,715,854,617,000	1,715,854,617,000	1,653,232,033,000	1,653,232,033,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	entity00148540_udf_IS_201851316268693_IncomeStatementAbstract	금융상품대손상각비	-6,505,908,000	-6,505,908,000	-5,652,330,000	-5,652,330,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	341,537,892,000	341,537,892,000	331,729,472,000	331,729,472,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_FinanceIncome	금융수익	90,711,357,000	90,711,357,000	138,519,051,000	138,519,051,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_FinanceCosts	금융비용	155,189,912,000	155,189,912,000	187,115,834,000	187,115,834,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	entity00148540_udf_IS_201711813565385_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익	14,314,786,000	14,314,786,000	27,909,041,000	27,909,041,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	dart_OtherGains	기타순손익	46,121,127,000	46,121,127,000	46,048,607,000	46,048,607,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	dart_OtherLosses	기타손실	89,929,370,000	89,929,370,000	110,387,241,000	110,387,241,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-03-31	1분기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익	247,565,880,000	247,565,880,000	246,703,096,000	246,703,096,000		
