재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_Revenue	수익(매출액)		33,779,706,665,000			29,523,435,477,000	26,898,599,989,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		24,634,400,467,000			21,170,216,737,000	18,608,585,681,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		9,145,306,198,000			8,353,218,740,000	8,290,014,308,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		7,636,151,674,000			7,020,743,532,000	6,964,058,969,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		1,509,154,524,000			1,332,475,208,000	1,325,955,339,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		402,866,750,000			358,181,813,000	731,801,535,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		1,090,448,593,000			841,170,612,000	735,192,113,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	entity00148540_udf_IS_201711813565385_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익		54,678,317,000			56,374,317,000	86,597,239,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	dart_OtherGains	기타영업외수익		544,372,006,000			1,102,538,066,000	631,534,708,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	dart_OtherLosses	기타영업외비용		823,548,086,000			688,734,107,000	465,515,379,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익		597,074,918,000			1,319,664,685,000	1,575,181,329,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		273,232,101,000			439,637,407,000	437,452,912,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익		323,842,817,000			880,027,278,000	1,137,728,417,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익의 귀속						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업의 소유주		267,148,987,000			276,055,458,000	463,698,379,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분		56,693,830,000			603,971,820,000	674,030,038,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주 주당순이익		8,240			9,735	16,286
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주 희석주당순이익		8,240			9,735	16,264
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_Revenue	매출액		10,415,108,625,820			9,219,680,477,069	7,110,391,207,800
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		9,442,517,706,512			8,391,607,542,871	6,354,235,538,289
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		972,590,919,308			828,072,934,198	756,155,669,511
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		665,404,573,134			585,386,008,578	520,504,249,077
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		307,186,346,174			242,686,925,620	235,651,420,434
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		56,028,037,905			65,112,263,594	29,757,575,731
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융원가		181,606,976,664			149,646,447,088	94,384,473,979
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_OtherGains	기타수익		66,037,067,916			60,425,837,200	13,402,614,912
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_OtherLosses	기타비용		157,670,641,450			107,937,835,736	90,930,303,076
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	entity00113410_udf_IS_2017112133014742_IncomeStatementAbstract	지분법손익		3,859,707,367			-10,821,781,525	-5,069,810,421
