재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	entity00148540_udf_IS_2020511201727378_IncomeStatementAbstract	영업수익	69,748,436,000	69,748,436,000	68,568,459,000	68,568,459,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	15,694,064,000	15,694,064,000	22,469,269,000	22,469,269,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	54,054,372,000	54,054,372,000	46,099,190,000	46,099,190,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	dart_OtherGains	기타영업외수익	30,378,000	30,378,000	-668,824,000	-668,824,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	1,047,495,000	1,047,495,000	435,116,000	435,116,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	11,459,381,000	11,459,381,000	2,326,271,000	2,326,271,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	43,672,864,000	43,672,864,000	43,539,211,000	43,539,211,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용(수익)	-345,859,000	-345,859,000	281,254,000	281,254,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	당기순이익	44,018,723,000	44,018,723,000	43,257,957,000	43,257,957,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주 주당순이익	1,312	1,312	1,535	1,535		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-03-31	1분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주 희석주당순이익	1,312	1,312	1,535	1,535		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_Revenue	매출액	1,634,485,010,465	1,634,485,010,465	1,564,971,585,892	1,564,971,585,892		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_CostOfSales	매출원가	1,489,392,293,102	1,489,392,293,102	1,459,774,264,388	1,459,774,264,388		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	145,092,717,363	145,092,717,363	105,197,321,504	105,197,321,504		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	98,642,028,312	98,642,028,312	88,871,074,578	88,871,074,578		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	46,450,689,051	46,450,689,051	16,326,246,926	16,326,246,926		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	11,286,984,057	11,286,984,057	4,890,492,843	4,890,492,843		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_FinanceCosts	금융원가	26,320,165,835	26,320,165,835	26,318,643,398	26,318,643,398		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	dart_OtherGains	기타수익	3,127,465,540	3,127,465,540	1,381,782,236	1,381,782,236		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	dart_OtherLosses	기타비용	16,481,257,454	16,481,257,454	23,093,269,928	23,093,269,928		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	18,063,715,359	18,063,715,359	-26,813,391,321	-26,813,391,321		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	3,639,017,701	3,639,017,701	-4,943,285,015	-4,943,285,015		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2020-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	분기순이익(손실)	14,424,697,658	14,424,697,658	-21,870,106,306	-21,870,106,306		
