재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월	당기 반기 누적	전기 반기 3개월	전기 반기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_Revenue	영업수익	6,504,953,550,000	12,854,667,681,000	5,878,809,165,000	11,566,336,302,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_RevenueFromSaleOfGoods	   재화의 판매로 인한 수익(매출액)	3,605,383,378,000	7,190,916,700,000	3,312,574,266,000	6,527,936,999,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_RevenueFromRenderingOfServices	   용역의 제공으로 인한 수익(매출액)	2,400,980,457,000	4,663,673,450,000	2,123,550,262,000	4,136,650,003,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_RevenueFromConstructionContracts	   건설계약으로 인한 수익(매출액)	100,845,399,000	248,910,053,000	94,434,649,000	200,338,377,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_201152323227203_Revenue	   임대료수익(매출액)	19,918,978,000	39,130,254,000	19,635,467,000	39,128,286,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_OtherRevenue	   기타수익(매출액)	377,825,338,000	712,037,224,000	328,614,521,000	662,282,637,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_CostOfSales	매출원가	4,540,402,946,000	8,899,503,242,000	4,046,122,177,000	7,927,867,664,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_GrossProfit	매출총이익	1,964,550,604,000	3,955,164,439,000	1,832,686,988,000	3,638,468,638,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,666,923,065,000	3,325,807,428,000	1,503,872,072,000	2,957,367,680,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	297,627,539,000	629,357,011,000	328,814,916,000	681,100,958,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_FinanceIncome	금융수익	33,153,770,000	171,672,821,000	52,194,416,000	154,571,774,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_FinanceCosts	금융원가	110,065,332,000	296,781,986,000	116,819,246,000	280,343,002,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	공동지배회사 및 관계회사에 대한 지분법손익	25,302,775,000	53,211,816,000	49,343,525,000	67,278,099,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	dart_OtherGains	기타이익	534,525,980,000	580,576,778,000	41,834,338,000	80,612,429,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	dart_OtherLosses	기타손실	106,996,385,000	217,784,997,000	88,240,068,000	149,257,925,000		
