재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	entity00148540_udf_IS_201887161426930_IncomeStatementAbstract	영업수익	68,568,459,000	68,568,459,000	60,479,554,000	60,479,554,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	22,469,269,000	22,469,269,000	12,944,311,000	12,944,311,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	46,099,190,000	46,099,190,000	47,535,243,000	47,535,243,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	dart_OtherGains	기타영업외수익	-668,824,000	-668,824,000	-54,674,366,000	-54,674,366,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_FinanceIncome	금융수익	435,116,000	435,116,000	3,395,423,000	3,395,423,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_FinanceCosts	금융비용	2,326,271,000	2,326,271,000	1,123,816,000	1,123,816,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익	43,539,211,000	43,539,211,000	-4,867,516,000	-4,867,516,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용	281,254,000	281,254,000	-9,155,133,000	-9,155,133,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_ProfitLoss	분기순이익	43,257,957,000	43,257,957,000	4,287,617,000	4,287,617,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_BasicEarningsLossPerShare	   보통주 주당순이익	1,535	1,535	147	147		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-03-31	1분기보고서	KRW	ifrs_DilutedEarningsLossPerShare	   보통주 희석주당순이익	1,535	1,535	147	147		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	ifrs_Revenue	매출액	1,564,971,585,892	1,564,971,585,892	1,388,766,881,974	1,388,766,881,974		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	ifrs_CostOfSales	매출원가	1,459,774,264,388	1,459,774,264,388	1,287,826,155,313	1,287,826,155,313		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	ifrs_GrossProfit	매출총이익	105,197,321,504	105,197,321,504	100,940,726,661	100,940,726,661		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	88,871,074,578	88,871,074,578	80,933,183,934	80,933,183,934		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	16,326,246,926	16,326,246,926	20,007,542,727	20,007,542,727		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	ifrs_FinanceIncome	금융수익	4,890,492,843	4,890,492,843	25,331,102,296	25,331,102,296		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	ifrs_FinanceCosts	금융원가	26,318,643,398	26,318,643,398	13,117,246,326	13,117,246,326		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	dart_OtherGains	기타수익	1,381,782,236	1,381,782,236	43,270,792,216	43,270,792,216		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-03-31	1분기보고서	KRW	dart_OtherLosses	기타비용	23,093,269,928	23,093,269,928	20,741,067,677	20,741,067,677		
