재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	entity00148540_udf_IS_201887161426930_IncomeStatementAbstract	영업수익		181,742,606,000			169,945,417,000	158,273,587,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		107,006,676,000			90,982,307,000	89,732,389,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		74,735,930,000			78,963,110,000	68,541,198,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	dart_OtherGains	기타영업외수익		-468,945,000			-54,615,930,000	839,634,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		5,013,004,000			20,400,895,000	664,569,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		11,600,895,000			4,319,173,000	2,979,583,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익		67,679,094,000			40,428,902,000	67,065,818,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		4,397,201,000			4,283,855,000	8,039,628,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익		63,281,893,000			36,145,047,000	59,026,190,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주 주당순이익		1,949			1,271	2,070
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2019-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주 희석주당순이익		1,949			1,271	2,067
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_Revenue	매출액		6,596,274,009,485			6,228,285,653,420	5,188,812,537,638
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		6,043,795,101,691			5,744,038,424,208	4,708,821,304,551
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		552,478,907,794			484,247,229,212	479,991,233,087
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		376,392,664,977			372,911,687,697	339,113,787,688
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		176,086,242,817			111,335,541,515	140,877,445,399
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		23,127,433,283			45,881,723,494	35,507,017,001
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융원가		126,485,564,812			69,332,591,692	56,814,055,872
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_OtherGains	기타수익		50,031,558,168			54,895,512,710	6,765,317,829
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	dart_OtherLosses	기타비용		125,368,962,388			92,767,486,365	76,002,008,388
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)		-2,609,292,932			50,012,699,662	50,333,715,969
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		2,306,197,324			13,085,205,549	15,118,851,163
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)		-4,915,490,256			36,927,494,113	35,214,864,806
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2019-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   기본 및 희석주당이익(손실)		-1,110			1,968	1,998
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_Revenue	매출액		807,416,422,918			669,279,136,472	679,737,743,507
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		513,292,636,950			453,942,754,545	426,170,592,097
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		294,123,785,968			215,336,381,927	253,567,151,410
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		112,967,913,805			102,452,078,780	111,213,462,035
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)		181,155,872,163			112,884,303,147	142,353,689,375
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		7,864,975,769			6,236,159,878	23,671,405,902
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		19,925,314,170			19,469,485,997	40,858,438,935
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	dart_OtherGains	기타영업외수익		11,651,523,750			14,263,507,508	6,577,381,531
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	dart_OtherLosses	기타영업외비용		20,258,764,797			9,732,740,199	18,879,262,375
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	entity00160843_udf_IS_20193271828745_IncomeStatementAbstract	관계기업투자처분손실		0			2,498,988,531	0
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	entity00160843_udf_IS_2017119174224401_IncomeStatementAbstract	관계기업투자손상차손		0			0	43,293,969,107
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	entity00160843_udf_IS_201932718220553_IncomeStatementAbstract	관계기업투자손상차손환입		0			2,689,875,000	0
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)		160,488,292,715			104,372,630,806	69,570,806,391
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		39,328,427,538			9,285,232,249	-4,830,925,892
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromContinuingOperations	계속영업이익(손실)		121,159,865,177			95,087,398,557	74,401,732,283
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromDiscontinuedOperations	중단영업이익(손실)		0			0	0
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)		121,159,865,177			95,087,398,557	74,401,732,283
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   기본주당이익(손실)		2,790			2,192	1,719
손익계산서, 기능별 분류 - 별도재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   희석주당이익(손실)		2,790			2,192	1,718
손익계산서, 기능별 분류 - 별도재무제표	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_Revenue	수익(매출액)		169,812,516,490			172,308,862,713	179,850,498,387
손익계산서, 기능별 분류 - 별도재무제표	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		147,369,770,920			151,067,760,003	150,005,649,168
손익계산서, 기능별 분류 - 별도재무제표	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2019-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		22,442,745,570			21,241,102,710	29,844,849,219
