{'code': '000210', 'comp_nm': 'DL', 'target_nm': '주당손익', 'value': 0}
{'code': '000270', 'comp_nm': '기아자동차', 'target_nm': '영업외비용', 'value': 0}
{'code': '000320', 'comp_nm': '노루홀딩스', 'target_nm': '주당손익', 'value': 0}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'target_nm': '영업외비용', 'value': 0}
{'code': '000670', 'comp_nm': '영풍', 'target_nm': '주당손익', 'value': 0}
{'code': '000700', 'comp_nm': '유수홀딩스', 'target_nm': '매출액', 'value': 0}
{'code': '000700', 'comp_nm': '유수홀딩스', 'target_nm': '전기 매출액', 'value': 0}
{'code': '000700', 'comp_nm': '유수홀딩스', 'target_nm': '영업외비용', 'value': 0}
{'code': '001060', 'comp_nm': 'JW중외제약', 'target_nm': '영업외비용', 'value': 0}
{'code': '001120', 'comp_nm': 'LG상사', 'target_nm': '영업외비용', 'value': 0}
{'code': '001470', 'comp_nm': '삼부토건', 'target_nm': '법인세비용', 'value': 0}
{'code': '001560', 'comp_nm': '제일연마', 'target_nm': '영업외손익', 'value': 0}
{'code': '001630', 'comp_nm': '종근당홀딩스', 'target_nm': '주당손익', 'value': 0}
{'code': '001800', 'comp_nm': '오리온홀딩스', 'target_nm': '금융비용', 'value': 0}
{'code': '001800', 'comp_nm': '오리온홀딩스', 'target_nm': '영업외비용', 'value': 0}
{'code': '001820', 'comp_nm': '삼화콘덴서공업', 'target_nm': '영업외비용', 'value': 0}
{'code': '002020', 'comp_nm': '코오롱', 'target_nm': '주당손익', 'value': 0}
{'code': '002380', 'comp_nm': '케이씨씨', 'target_nm': '영업외비용', 'value': 0}
{'code': '002630', 'comp_nm': '오리엔트바이오', 'target_nm': '법인세비용', 'value': 0}
{'code': '002790', 'comp_nm': '아모레퍼시픽그룹', 'target_nm': '영업외비용', 'value': 0}
{'code': '002840', 'comp_nm': '미원상사', 'target_nm': '주당손익', 'value': 0}
{'code': '002990', 'comp_nm': '금호산업', 'target_nm': '영업외비용', 'value': 0}
{'code': '003220', 'comp_nm': '대원제약', 'target_nm': '주당손익', 'value': 0}
{'code': '003240', 'comp_nm': '태광산업', 'target_nm': '주당손익', 'value': 0}
{'code': '003380', 'comp_nm': '하림지주', 'target_nm': '주당손익', 'value': 0}
{'code': '003550', 'comp_nm': 'LG', 'target_nm': '주당손익', 'value': 0}
{'code': '003670', 'comp_nm': '포스코케미칼', 'target_nm': '주당손익', 'value': 0}
{'code': '003720', 'comp_nm': '삼영화학공업', 'target_nm': '당기순이익', 'value': 0}
{'code': '003720', 'comp_nm': '삼영화학공업', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '003920', 'comp_nm': '남양유업', 'target_nm': '금융수익', 'value': 0}
{'code': '004020', 'comp_nm': '현대제철', 'target_nm': '영업외비용', 'value': 0}
{'code': '004140', 'comp_nm': '동방', 'target_nm': '주당손익', 'value': 0}
{'code': '004360', 'comp_nm': '세방', 'target_nm': '영업외비용', 'value': 0}
{'code': '004690', 'comp_nm': '삼천리', 'target_nm': '주당손익', 'value': 0}
{'code': '004840', 'comp_nm': 'DRB동일', 'target_nm': '주당손익', 'value': 0}
{'code': '005250', 'comp_nm': '녹십자홀딩스', 'target_nm': '당기순이익', 'value': 0}
{'code': '005250', 'comp_nm': '녹십자홀딩스', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '005290', 'comp_nm': '동진쎄미켐', 'target_nm': '영업외비용', 'value': 0}
{'code': '005300', 'comp_nm': '롯데칠성음료', 'target_nm': '주당손익', 'value': 0}
{'code': '005380', 'comp_nm': '현대자동차', 'target_nm': '당기순이익', 'value': 0}
{'code': '005380', 'comp_nm': '현대자동차', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '005380', 'comp_nm': '현대자동차', 'target_nm': '주당손익', 'value': 0}
{'code': '005420', 'comp_nm': '코스모화학', 'target_nm': '영업외비용', 'value': 0}
{'code': '006060', 'comp_nm': '화승인더스트리', 'target_nm': '영업외비용', 'value': 0}
{'code': '006980', 'comp_nm': '우성사료', 'target_nm': '영업외손익', 'value': 0}
{'code': '007120', 'comp_nm': '미래아이앤지', 'target_nm': '법인세비용', 'value': 0}
{'code': '007630', 'comp_nm': '폴루스바이오팜', 'target_nm': '법인세비용', 'value': 0}
{'code': '007810', 'comp_nm': '코리아써키트', 'target_nm': '주당손익', 'value': 0}
{'code': '008060', 'comp_nm': '대덕', 'target_nm': '매출액', 'value': 0}
{'code': '008060', 'comp_nm': '대덕', 'target_nm': '전기 매출액', 'value': 0}
{'code': '008060', 'comp_nm': '대덕', 'target_nm': '금융비용', 'value': 0}
{'code': '008060', 'comp_nm': '대덕', 'target_nm': '영업외비용', 'value': 0}
{'code': '008700', 'comp_nm': '아남전자', 'target_nm': '영업외비용', 'value': 0}
{'code': '008730', 'comp_nm': '율촌화학', 'target_nm': '영업외비용', 'value': 0}
{'code': '008770', 'comp_nm': '호텔신라', 'target_nm': '당기순이익', 'value': 0}
{'code': '008770', 'comp_nm': '호텔신라', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '008770', 'comp_nm': '호텔신라', 'target_nm': '영업비용', 'value': 0}
{'code': '009150', 'comp_nm': '삼성전기', 'target_nm': '주당손익', 'value': 0}
{'code': '009300', 'comp_nm': '삼아제약', 'target_nm': '금융비용', 'value': 0}
{'code': '009300', 'comp_nm': '삼아제약', 'target_nm': '영업외비용', 'value': 0}
{'code': '009310', 'comp_nm': '참엔지니어링', 'target_nm': '주당손익', 'value': 0}
{'code': '009540', 'comp_nm': '한국조선해양', 'target_nm': '주당손익', 'value': 0}
{'code': '009730', 'comp_nm': '코센', 'target_nm': '법인세비용', 'value': 0}
{'code': '009810', 'comp_nm': '엔케이물산', 'target_nm': '법인세비용', 'value': 0}
{'code': '009830', 'comp_nm': '한화솔루션', 'target_nm': '주당손익', 'value': 0}
{'code': '009830', 'comp_nm': '한화솔루션', 'target_nm': '영업외비용', 'value': 0}
{'code': '009900', 'comp_nm': '명신산업', 'target_nm': '주당손익', 'value': 0}
{'code': '010120', 'comp_nm': '엘에스일렉트릭', 'target_nm': '주당손익', 'value': 0}
{'code': '010130', 'comp_nm': '고려아연', 'target_nm': '영업외비용', 'value': 0}
{'code': '010950', 'comp_nm': 'S-Oil', 'target_nm': '주당손익', 'value': 0}
{'code': '011280', 'comp_nm': '태림포장', 'target_nm': '영업외비용', 'value': 0}
{'code': '011930', 'comp_nm': '신성이엔지', 'target_nm': '금융수익', 'value': 0}
{'code': '011930', 'comp_nm': '신성이엔지', 'target_nm': '주당손익', 'value': 0}
{'code': '012200', 'comp_nm': '계양전기', 'target_nm': '주당손익', 'value': 0}
{'code': '012700', 'comp_nm': '리드코프', 'target_nm': '영업외손익', 'value': 0}
{'code': '012700', 'comp_nm': '리드코프', 'target_nm': '영업외비용', 'value': 0}
{'code': '012860', 'comp_nm': '모베이스전자', 'target_nm': '주당손익', 'value': 0}
{'code': '012860', 'comp_nm': '모베이스전자', 'target_nm': '법인세비용', 'value': 0}
{'code': '013360', 'comp_nm': '일성건설', 'target_nm': '영업외비용', 'value': 0}
{'code': '014200', 'comp_nm': '광림', 'target_nm': '영업외비용', 'value': 0}
{'code': '014280', 'comp_nm': '금강공업', 'target_nm': '주당손익', 'value': 0}
{'code': '014990', 'comp_nm': '인디에프', 'target_nm': '금융수익', 'value': 0}
{'code': '016710', 'comp_nm': '대성홀딩스', 'target_nm': '영업외비용', 'value': 0}
{'code': '016880', 'comp_nm': '웅진', 'target_nm': '법인세비용', 'value': 0}
{'code': '017040', 'comp_nm': '광명전기', 'target_nm': '영업외비용', 'value': 0}
{'code': '017180', 'comp_nm': '명문제약', 'target_nm': '주당손익', 'value': 0}
{'code': '018000', 'comp_nm': '유니슨', 'target_nm': '법인세비용', 'value': 0}
{'code': '018620', 'comp_nm': '우진비앤지', 'target_nm': '법인세비용', 'value': 0}
{'code': '018700', 'comp_nm': '바른손', 'target_nm': '법인세비용', 'value': 0}
{'code': '019680', 'comp_nm': '대교', 'target_nm': '주당손익', 'value': 0}
{'code': '020560', 'comp_nm': '아시아나항공', 'target_nm': '주당손익', 'value': 0}
{'code': '023460', 'comp_nm': 'CNH', 'target_nm': '금융수익', 'value': 0}
{'code': '023460', 'comp_nm': 'CNH', 'target_nm': '금융비용', 'value': 0}
{'code': '023810', 'comp_nm': '인팩', 'target_nm': '당기순이익', 'value': 0}
{'code': '023810', 'comp_nm': '인팩', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '023810', 'comp_nm': '인팩', 'target_nm': '영업외비용', 'value': 0}
{'code': '024810', 'comp_nm': '이화전기', 'target_nm': '법인세비용', 'value': 0}
{'code': '024850', 'comp_nm': '피에스엠씨', 'target_nm': '주당손익', 'value': 0}
{'code': '025000', 'comp_nm': 'KPX케미칼', 'target_nm': '주당손익', 'value': 0}
{'code': '025560', 'comp_nm': '미래산업', 'target_nm': '법인세비용', 'value': 0}
{'code': '027740', 'comp_nm': '마니커', 'target_nm': '법인세비용', 'value': 0}
{'code': '028670', 'comp_nm': '팬오션', 'target_nm': '영업외비용', 'value': 0}
{'code': '029480', 'comp_nm': '릭스솔루션', 'target_nm': '법인세비용', 'value': 0}
{'code': '029530', 'comp_nm': '신도리코', 'target_nm': '주당손익', 'value': 0}
{'code': '030790', 'comp_nm': '비케이탑스', 'target_nm': '영업외비용', 'value': 0}
{'code': '030790', 'comp_nm': '비케이탑스', 'target_nm': '법인세비용', 'value': 0}
{'code': '031860', 'comp_nm': '엔에스엔', 'target_nm': '법인세비용', 'value': 0}
{'code': '032190', 'comp_nm': '다우데이타', 'target_nm': '주당손익', 'value': 0}
{'code': '032620', 'comp_nm': '유비케어', 'target_nm': '금융비용', 'value': 0}
{'code': '032800', 'comp_nm': '판타지오', 'target_nm': '법인세비용', 'value': 0}
{'code': '033110', 'comp_nm': '코너스톤네트웍스', 'target_nm': '금융비용', 'value': 0}
{'code': '033110', 'comp_nm': '코너스톤네트웍스', 'target_nm': '법인세비용', 'value': 0}
{'code': '033200', 'comp_nm': '모아텍', 'target_nm': '금융비용', 'value': 0}
{'code': '033430', 'comp_nm': '디에스티', 'target_nm': '법인세비용', 'value': 0}
{'code': '033920', 'comp_nm': '무학', 'target_nm': '금융비용', 'value': 0}
{'code': '033920', 'comp_nm': '무학', 'target_nm': '주당손익', 'value': 0}
{'code': '034230', 'comp_nm': '파라다이스', 'target_nm': '주당손익', 'value': 0}
{'code': '036120', 'comp_nm': 'SCI평가정보', 'target_nm': '금융수익', 'value': 0}
{'code': '036120', 'comp_nm': 'SCI평가정보', 'target_nm': '금융비용', 'value': 0}
{'code': '036120', 'comp_nm': 'SCI평가정보', 'target_nm': '주당손익', 'value': 0}
{'code': '036830', 'comp_nm': '솔브레인홀딩스', 'target_nm': '매출액', 'value': 0}
{'code': '036830', 'comp_nm': '솔브레인홀딩스', 'target_nm': '전기 매출액', 'value': 0}
{'code': '038540', 'comp_nm': '상상인', 'target_nm': '영업외비용', 'value': 0}
{'code': '038950', 'comp_nm': '파인디지털', 'target_nm': '금융비용', 'value': 0}
{'code': '039130', 'comp_nm': '하나투어', 'target_nm': '금융수익', 'value': 0}
{'code': '039130', 'comp_nm': '하나투어', 'target_nm': '영업외비용', 'value': 0}
{'code': '039310', 'comp_nm': '세중', 'target_nm': '주당손익', 'value': 0}
{'code': '039560', 'comp_nm': '다산네트웍스', 'target_nm': '주당손익', 'value': 0}
{'code': '039670', 'comp_nm': '한류타임즈', 'target_nm': '주당손익', 'value': 0}
{'code': '039670', 'comp_nm': '한류타임즈', 'target_nm': '법인세비용', 'value': 0}
{'code': '039740', 'comp_nm': '한국정보공학', 'target_nm': '법인세비용', 'value': 0}
{'code': '041440', 'comp_nm': '에버다임', 'target_nm': '주당손익', 'value': 0}
{'code': '041960', 'comp_nm': '코미팜', 'target_nm': '법인세비용', 'value': 0}
{'code': '042370', 'comp_nm': '비츠로테크', 'target_nm': '영업외비용', 'value': 0}
{'code': '042940', 'comp_nm': '상지카일룸', 'target_nm': '법인세비용', 'value': 0}
