{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 342682240439}
{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 299708392624}
{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 91125559753}
{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 76649089122}
{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 67494002399}
{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 222743490424}
{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 39504165702}
{'code': '000020', 'comp_nm': '동화약품', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 433807800192}
{'code': '000040', 'comp_nm': 'KR모터스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 49845053652}
{'code': '000040', 'comp_nm': 'KR모터스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 35210016721}
{'code': '000040', 'comp_nm': 'KR모터스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 106028407315}
{'code': '000040', 'comp_nm': 'KR모터스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 108871143114}
{'code': '000040', 'comp_nm': 'KR모터스', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 84122929823}
{'code': '000040', 'comp_nm': 'KR모터스', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 60970592935}
