재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	entity00148540_udf_IS_201711820307453_IncomeStatementAbstract	영업수익	24,958,591,000	105,134,942,000	22,981,066,000	99,202,002,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	entity00148540_udf_IS_2017118203021492_udf_IS_201711820307453_IncomeStatementAbstract	   배당금 수익 등		33,883,437,000		33,081,247,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	entity00148540_udf_IS_2017118203032362_udf_IS_201711820307453_IncomeStatementAbstract	   로열티 수익 등	23,383,474,000	65,771,022,000	21,023,299,000	60,229,168,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	entity00148540_udf_IS_2017118203059690_udf_IS_201711820307453_IncomeStatementAbstract	   임대료 수익	1,575,117,000	5,480,483,000	1,957,767,000	5,891,587,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	entity00148540_udf_IS_2017118203139276_IncomeStatementAbstract	영업비용	-16,950,314,000	-44,271,337,000	-11,774,344,000	-34,703,820,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	8,008,277,000	60,863,605,000	11,206,722,000	64,498,182,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	entity00148540_udf_IS_2017118201127563_IncomeStatementAbstract	기타순손익	25,296,000	797,384,000	96,723,000	589,404,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_FinanceIncome	금융수익	97,992,000	324,822,000	859,982,000	2,179,694,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_FinanceCosts	금융비용	744,762,000	2,231,094,000	2,386,345,000	7,205,351,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익	7,386,803,000	59,754,717,000	9,777,082,000	60,061,929,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용	1,639,068,000	6,869,929,000	2,035,987,000	7,404,950,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_ProfitLoss	분기순이익	5,747,735,000	52,884,788,000	7,741,095,000	52,656,979,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_BasicEarningsLossPerShare	   보통주 주당순이익	198	1,854	268	1,848		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-09-30	3분기보고서	KRW	ifrs_DilutedEarningsLossPerShare	   보통주 희석주당순이익	198	1,849	267	1,842		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_Revenue	매출액	1,334,083,076,723	3,844,120,481,507	1,196,076,907,519	3,569,928,731,470		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_CostOfSales	매출원가	1,211,340,561,218	3,479,891,207,024	1,080,487,248,233	3,228,371,379,531		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_GrossProfit	매출총이익	122,742,515,505	364,229,274,483	115,589,659,286	341,557,351,939		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	84,525,428,091	251,050,072,729	78,089,383,390	230,428,509,012		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	38,217,087,414	113,179,201,754	37,500,275,896	111,128,842,927		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_FinanceIncome	금융수익	4,153,720,992	22,792,478,629	879,770,478	20,216,326,140		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_FinanceCosts	금융원가	12,103,390,333	38,827,952,657	17,153,226,275	49,241,947,695		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	dart_OtherGains	기타수익	137,395,272	4,174,508,422	456,594,102	2,212,238,296		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	dart_OtherLosses	기타비용	15,091,054,244	49,291,740,591	21,931,755,838	60,407,596,285		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	entity00113410_udf_IS_201711612233207_IncomeStatementAbstract	종속기업투자수식처분이익	0	53,944,380	0	407,905,459		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	entity00113410_udf_IS_201711612245977_IncomeStatementAbstract	종속기업투자주식손상차손	7,641,548,070	7,641,548,070	2,457,946,701	4,885,469,205		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	entity00113410_udf_IS_201711612254727_IncomeStatementAbstract	관계기업투자주식손상차손	-750,000,000	-2,250,000,000	0	0		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	6,922,211,031	42,188,891,867	-2,706,288,338	19,430,299,637		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용	5,392,089,906	15,117,092,985	352,758,391	2,312,572,124		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_ProfitLoss	당기순이익(손실)	1,530,121,125	27,071,798,882	-3,059,046,729	17,117,727,513		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_EarningsPerShareAbstract	주당이익(손실)						
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-09-30	3분기보고서	KRW	ifrs_BasicEarningsLossPerShare	   기본 및 희석주당이익(손실)	87	1,536	-174	971		
