재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_Revenue	수익(매출액)		26,898,599,989,000			23,954,197,397,000	21,166,707,211,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_CostOfSales	매출원가		18,608,585,681,000			16,501,957,752,000	14,473,552,196,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_GrossProfit	매출총이익		8,290,014,308,000			7,452,239,645,000	6,693,155,015,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	영업비용		6,964,058,969,000			6,199,326,414,000	5,467,824,749,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		1,325,955,339,000			1,252,913,231,000	1,225,330,266,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_FinanceIncome	금융수익		731,801,536,000			284,926,190,000	290,447,843,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_FinanceCosts	금융비용		706,087,568,000			595,910,787,000	605,700,120,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	entity00148540_udf_IS_201711813565385_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익		86,597,239,000			69,997,151,000	163,322,606,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	dart_OtherGains	기타순손익		632,139,718,000			188,059,036,000	113,092,802,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	dart_OtherLosses	기타손실		495,224,935,000			404,718,073,000	451,603,036,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익		1,575,181,329,000			795,266,748,000	734,890,361,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용		437,452,912,000			225,443,366,000	183,774,814,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLoss	당기순이익		1,137,728,417,000			569,823,382,000	551,115,547,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossAttributableToAbstract	당기순이익의 귀속						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossAttributableToOwnersOfParent	   지배기업의 소유주		463,698,379,000			223,028,021,000	205,792,550,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossAttributableToNoncontrollingInterests	   비지배지분		674,030,038,000			346,795,361,000	345,322,997,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_BasicEarningsLossPerShare	   보통주 주당순이익		16,286			7,837	7,242
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-12-31	사업보고서	KRW	ifrs_DilutedEarningsLossPerShare	   보통주 희석주당순이익		16,264			7,816	7,214
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_Revenue	매출액		7,110,391,207,800			6,081,945,642,204	5,055,766,403,519
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_CostOfSales	매출원가		6,354,235,538,289			5,410,826,301,199	4,506,506,640,312
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_GrossProfit	매출총이익		756,155,669,511			671,119,341,005	549,259,763,207
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		520,504,249,077			442,674,850,590	362,626,045,395
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		235,651,420,434			228,444,490,415	186,633,717,812
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_FinanceIncome	금융수익		29,757,575,731			30,828,699,312	27,463,242,135
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_FinanceCosts	금융원가		94,384,473,979			85,634,046,562	82,333,243,835
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	dart_OtherGains	기타수익		13,402,614,912			9,609,450,953	18,927,904,883
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	dart_OtherLosses	기타비용		90,930,303,076			92,505,141,178	86,872,428,213
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	entity00113410_udf_IS_2017112133014742_IncomeStatementAbstract	관계기업투자손익		-20,360,615,690			275,960,637	16,494,628,427
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익(손실)		73,136,218,332			91,019,413,577	80,313,821,209
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용		34,248,373,897			22,809,282,644	17,096,361,010
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossFromContinuingOperations	계속영업이익		38,887,844,435			68,210,130,933	63,217,460,199
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossFromDiscontinuedOperations	중단영업이익		0			0	-14,233,455,745
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLoss	당기순이익(손실)		38,887,844,435			68,210,130,933	48,984,004,454
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossAttributableToAbstract	당기순이익(손실)의 귀속 [abstract]						
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossAttributableToOwnersOfParent	   지배기업의 소유주에게 귀속되는 당기순이익(손실)		31,483,355,602			55,791,183,005	45,943,093,290
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_ProfitLossAttributableToNoncontrollingInterests	   비지배지분에 귀속되는 당기순이익(손실)		7,404,488,833			12,418,947,928	3,040,911,164
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_EarningsPerShareAbstract	주당이익(손실)						
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_BasicEarningsLossPerShare	   기본 및 희석주당이익(손실)		1,786			3,166	2,636
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_BasicEarningsLossPerShareFromContinuingOperations	      계속영업기본주당이익(손실)		1,786			3,166	3,104
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-12-31	사업보고서	KRW	ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations	      중단영업기본주당이익(손실)		0			0	-468
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	ifrs_Revenue	매출액		679,737,743,507			773,140,180,180	666,594,986,583
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	dart_RevenueFromSaleOfGoodsProduct	   제품매출액		661,782,393,075			757,092,296,228	646,489,914,896
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	ifrs_OtherRevenue	   기타매출액		17,955,350,432			16,047,883,952	20,105,071,687
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	ifrs_CostOfSales	매출원가		426,170,592,097			483,129,939,120	436,915,515,281
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	dart_CostOfSalesFromSaleOfGoodsProduct	   제품매출원가		426,170,592,097			483,129,939,120	436,915,515,281
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	ifrs_GrossProfit	매출총이익		253,567,151,410			290,010,241,060	229,679,471,302
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		110,371,983,659			117,582,311,375	104,710,656,427
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	dart_SalariesWages	   급여		24,875,162,023			25,249,986,235	21,306,745,582
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	dart_ProvisionForSeveranceIndemnities	   퇴직급여		2,512,519,596			2,713,672,276	2,585,947,128
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2017-12-31	사업보고서	KRW	dart_EmployeeBenefits	   복리후생비		3,600,954,944			3,167,753,524	3,583,290,672
