재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_Revenue	영업수익	56,677,737,000	56,677,737,000	54,237,893,000	54,237,893,000	124,414,699,000	103,624,034,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_RevenueFromRoyalties	   로열티수익(매출액)	20,837,194,000	20,837,194,000	19,189,528,000	19,189,528,000	83,481,359,000	75,724,518,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_RevenueFromDividends	   배당수익(매출액)	33,883,437,000	33,883,437,000	33,081,247,000	33,081,247,000	33,081,247,000	19,893,685,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	entity00148540_udf_IS_2015810134350728_Revenue	   임대료수익	1,957,106,000	1,957,106,000	1,967,118,000	1,967,118,000	7,852,093,000	8,005,831,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	entity00148540_udf_IS_201152222820640_IncomeStatementAbstract	영업비용	11,256,686,000	11,256,686,000	12,054,349,000	12,054,349,000	-65,607,073,000	50,750,456,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	45,421,051,000	45,421,051,000	42,183,544,000	42,183,544,000	58,807,626,000	52,873,578,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	entity00148540_udf_IS_20133261421500_IncomeStatementAbstract	기타순손익	749,876,000	749,876,000	384,719,000	384,719,000	13,040,433,000	-96,342,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_FinanceIncome	금융수익	115,377,000	115,377,000	614,909,000	614,909,000	2,659,629,000	3,658,502,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	dart_InterestIncomeFinanceIncome	   이자수익	95,877,000	95,877,000	614,356,000	614,356,000	2,293,325,000	3,381,556,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	entity00148540_udf_IS_20111122162758343_FinanceIncome	   외환차익	19,500,000	19,500,000	553,000	553,000	2,231,000	72,463,000
