재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기 3개월	당기 1분기 누적	전기 1분기 3개월	전기 1분기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_Revenue	영업수익	6,349,714,131,000	6,349,714,131,000	5,687,527,137,000	5,687,527,137,000	23,954,197,397,000	21,166,707,211,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_RevenueFromSaleOfGoods	   재화의 판매로 인한 수익(매출액)	3,585,533,321,000	3,585,533,321,000	3,215,362,733,000	3,215,362,733,000	13,433,216,743,000	11,865,683,805,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_RevenueFromRenderingOfServices	   용역의 제공으로 인한 수익(매출액)	2,262,692,993,000	2,262,692,993,000	2,013,099,741,000	2,013,099,741,000	8,713,449,723,000	7,656,960,588,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_RevenueFromConstructionContracts	   건설계약으로 인한 수익(매출액)	148,064,654,000	148,064,654,000	105,903,728,000	105,903,728,000	462,431,961,000	303,715,541,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	entity00148540_udf_IS_201152323227203_Revenue	   임대료수익(매출액)	19,211,276,000	19,211,276,000	19,492,819,000	19,492,819,000	78,433,239,000	73,900,155,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_OtherRevenue	   기타수익(매출액)	334,211,887,000	334,211,887,000	333,668,116,000	333,668,116,000	1,266,665,731,000	1,266,447,122,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_CostOfSales	매출원가	4,359,100,296,000	4,359,100,296,000	3,881,745,487,000	3,881,745,487,000	16,501,957,752,000	14,473,552,196,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_GrossProfit	매출총이익	1,990,613,835,000	1,990,613,835,000	1,805,781,650,000	1,805,781,650,000	7,452,239,645,000	6,693,155,015,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,658,884,363,000	1,658,884,363,000	1,453,495,608,000	1,453,495,608,000	6,199,326,414,000	5,467,824,749,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	331,729,472,000	331,729,472,000	352,286,042,000	352,286,042,000	1,252,913,231,000	1,225,330,266,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_FinanceIncome	금융수익	138,519,051,000	138,519,051,000	102,377,358,000	102,377,358,000	284,926,190,000	290,447,843,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_FinanceCosts	금융원가	186,716,654,000	186,716,654,000	163,523,756,000	163,523,756,000	595,910,787,000	605,700,120,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	공동지배회사 및 관계회사에 대한 지분법손익	27,909,041,000	27,909,041,000	17,934,574,000	17,934,574,000	69,997,151,000	163,322,606,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	dart_OtherGains	기타이익	46,050,798,000	46,050,798,000	38,778,091,000	38,778,091,000	188,059,036,000	113,092,802,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	dart_OtherLosses	기타손실	110,788,612,000	110,788,612,000	61,017,857,000	61,017,857,000	404,718,073,000	451,603,036,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	246,703,096,000	246,703,096,000	286,834,452,000	286,834,452,000	795,266,748,000	734,890,361,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용(수익)	73,951,440,000	73,951,440,000	70,834,119,000	70,834,119,000	225,443,366,000	183,774,814,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_ProfitLossFromContinuingOperations	계속영업이익(손실)	172,751,656,000	172,751,656,000	216,000,333,000	216,000,333,000	569,823,382,000	551,115,547,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_ProfitLoss	당기순이익(손실)	172,751,656,000	172,751,656,000	216,000,333,000	216,000,333,000	569,823,382,000	551,115,547,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_ProfitLossAttributableToAbstract	당기순이익(손실)의 귀속 [abstract]						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_ProfitLossAttributableToOwnersOfParent	   지배기업의 소유주에게 귀속되는 당기순이익(손실)	60,987,008,000	60,987,008,000	76,082,101,000	76,082,101,000	223,028,021,000	205,792,550,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_ProfitLossAttributableToNoncontrollingInterests	   비지배지분에 귀속되는 당기순이익(손실)	111,764,648,000	111,764,648,000	139,918,232,000	139,918,232,000	346,795,361,000	345,322,997,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_BasicEarningsLossPerShare	   기본주당이익(손실)	2,139	2,139	2,673	2,673	7,837	7,242
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	ifrs_DilutedEarningsLossPerShare	   희석주당이익(손실)	2,134	2,134	2,664	2,664	7,816	7,214
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	entity00148540_udf_IS_2011523224238703_EarningsPerShareAbstract	   우선주기본주당이익(단위: 원)	2,189,000	2,189,000	2,723,000	2,723,000	7,887,000	7,292,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	715	회사본부, 지주회사 및 경영컨설팅 서비스업	12	2017-03-31	1분기보고서	KRW	entity00148540_udf_IS_2011523224237875_EarningsPerShareAbstract	   우선주희석주당이익(단위: 원)	2,184,000	2,184,000	2,714,000	2,714,000	7,866,000	7,264,000
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-03-31	1분기보고서	KRW	ifrs_Revenue	매출액	1,594,922,919,093	1,594,922,919,093	1,445,215,806,603	1,445,215,806,603	6,081,945,642,204	5,055,766,403,519
