재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월	당기 반기 누적	전기 반기 3개월	전기 반기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_Revenue	영업수익	23,498,614,000	80,176,351,000	21,983,043,000	76,220,936,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_RevenueFromRoyalties	   로열티수익(매출액)	21,550,354,000	42,387,548,000	20,016,341,000	39,205,869,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_RevenueFromDividends	   배당수익(매출액)		33,883,437,000		33,081,247,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_2015810134350728_Revenue	   임대료수익	1,948,260,000	3,905,366,000	1,966,702,000	3,933,820,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_201152222820640_IncomeStatementAbstract	영업비용	16,064,337,000	27,321,023,000	10,875,127,000	22,929,476,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	7,434,277,000	52,855,328,000	11,107,916,000	53,291,460,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_20133261421500_IncomeStatementAbstract	기타순손익	22,212,000	772,088,000	107,962,000	492,681,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_FinanceIncome	금융수익	111,453,000	226,830,000	704,803,000	1,319,712,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	dart_InterestIncomeFinanceIncome	   이자수익	111,272,000	207,149,000	597,934,000	1,212,290,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_20111122162758343_FinanceIncome	   외환차익	181,000	19,681,000	9,817,000	10,370,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_20111122162033625_FinanceIncome	   매도가능금융자산처분이익	0	0	97,052,000	97,052,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_FinanceCosts	금융원가	740,834,000	1,486,332,000	2,417,895,000	4,819,006,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	dart_InterestExpenseFinanceExpense	   이자비용	740,832,000	1,484,092,000	2,417,895,000	4,819,006,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_20111122162952921_FinanceCosts	   외환차손	2,000	2,240,000				
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	6,827,108,000	52,367,914,000	9,502,786,000	50,284,847,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용(수익)	-1,375,933,000	-5,230,861,000	-1,845,438,000	-5,368,963,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_ProfitLoss	당기순이익(손실)	5,451,175,000	47,137,053,000	7,657,348,000	44,915,884,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_BasicEarningsLossPerShare	   기본주당이익(손실)	188	1,652	265	1,576		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	ifrs_DilutedEarningsLossPerShare	   희석주당이익(손실)	187	1,649	264	1,571		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_2011523105843875_EarningsPerShareAbstract	   우선주기본주당이익(단위: 원)	238,000	1,702,000	315,000	1,626,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2017-06-30	반기보고서	KRW	entity00148540_udf_IS_201152901214984_EarningsPerShareAbstract	   우선주희석주당이익(단위: 원)	237,000	1,699,000	314,000	1,621,000		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	ifrs_Revenue	매출액	1,287,501,222,332	2,510,037,404,784	1,215,280,930,442	2,373,851,823,951		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	ifrs_CostOfSales	매출원가	1,159,169,256,411	2,268,550,645,806	1,095,813,442,123	2,147,884,131,298		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	ifrs_GrossProfit	매출총이익	128,331,965,921	241,486,758,978	119,467,488,319	225,967,692,653		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	85,168,606,309	166,524,644,638	78,776,503,313	152,339,125,622		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익	43,163,359,612	74,962,114,340	40,690,985,006	73,628,567,031		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	ifrs_FinanceIncome	금융수익	3,111,018,137	18,638,757,637	6,665,151,971	19,336,555,662		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	ifrs_FinanceCosts	금융원가	6,830,307,881	26,724,562,324	15,256,734,949	32,088,721,420		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	dart_OtherGains	기타이익	948,886,315	4,037,113,150	549,862,116	1,755,644,194		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	dart_OtherLosses	기타손실	15,719,693,939	34,200,686,347	18,483,330,481	38,475,840,447		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2017-06-30	반기보고서	KRW	entity00113410_udf_IS_20151110165510595_IncomeStatementAbstract	종속기업투자주식처분손익	0	53,944,380	0	407,905,459		
