재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	entity00148540_udf_IS_201887161426930_IncomeStatementAbstract	영업수익	26,218,195,000	110,911,982,000	24,958,591,000	105,134,942,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	14,939,469,000	40,687,098,000	16,950,314,000	44,271,337,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	11,278,726,000	70,224,884,000	8,008,277,000	60,863,605,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	dart_OtherGains	기타영업외수익	31,636,000	-54,634,538,000	25,296,000	797,384,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_FinanceIncome	금융수익	-4,998,486,000	15,381,423,000	97,992,000	324,822,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_FinanceCosts	금융비용	1,073,256,000	3,256,932,000	744,762,000	2,231,094,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익	5,238,620,000	27,714,837,000	7,386,803,000	59,754,717,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용	1,271,004,000	209,821,000	1,639,068,000	6,869,929,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_ProfitLoss	반기순이익	3,967,616,000	27,505,016,000	5,747,735,000	52,884,788,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_EarningsPerShareAbstract	주당순이익						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_BasicEarningsLossPerShare	   보통주 주당순이익	139	965	198	1,854		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2018-09-30	3분기보고서	KRW	ifrs_DilutedEarningsLossPerShare	   보통주 희석주당순이익	139	965	198	1,849		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-09-30	3분기보고서	KRW	ifrs_Revenue	매출액	1,581,532,073,840	4,543,592,540,794	1,334,083,076,723	3,844,120,481,507		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-09-30	3분기보고서	KRW	ifrs_CostOfSales	매출원가	1,469,062,605,053	4,200,678,784,414	1,211,340,561,218	3,479,891,207,024		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-09-30	3분기보고서	KRW	ifrs_GrossProfit	매출총이익	112,469,468,787	342,913,756,380	122,742,515,505	364,229,274,483		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	91,463,452,757	269,981,200,529	84,525,428,091	251,050,072,729		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2018-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	21,006,016,030	72,932,555,851	38,217,087,414	113,179,201,754		
