재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_Revenue	매출액		31,999,102,947,000			33,779,706,665,000	29,523,435,477,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		23,391,528,118,000			24,634,400,467,000	21,170,216,737,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		8,607,574,829,000			9,145,306,198,000	8,353,218,740,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		7,217,234,663,000			7,636,151,674,000	7,020,743,532,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		1,390,340,166,000			1,509,154,524,000	1,332,475,208,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		566,802,997,000			402,866,750,000	358,181,813,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		1,335,813,027,000			1,090,448,593,000	841,170,612,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00148540_udf_IS_202081110523392_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익		84,032,128,000			54,678,317,000	56,374,317,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OtherGains	기타영업외수익		906,754,734,000			544,372,006,000	1,102,538,066,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OtherLosses	기타영업외비용		1,098,419,226,000			823,548,086,000	688,734,107,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익		513,697,772,000			597,074,918,000	1,319,664,685,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		309,689,974,000			273,232,101,000	439,637,407,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익		204,007,798,000			323,842,817,000	880,027,278,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익의 귀속						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업의소유주		86,650,258,000			267,148,987,000	276,055,458,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분		117,357,540,000			56,693,830,000	603,971,820,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
